# xp yp zp phi
# 1 21 21 21
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.993751952718162856e-01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.975031223974600847e-01
1.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.943907906910809391e-01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.900498337491681067e-01
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.844964370054084535e-01
3.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.777512371933363422e-01
3.500000000000000333e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.698391945907022249e-01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.607894391523231770e-01
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.506350918586984333e-01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.394130628134758076e-01
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.271638278117531051e-01
6.000000000000000888e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.139311852712281858e-01
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.997619955676539050e-01
7.000000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.847059049434835565e-01
7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.688150562628431661e-01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.521437889662113463e-01
8.500000000000000888e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.347483306338712161e-01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.166864825981108300e-01
9.500000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.980173020503648074e-01
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.788007830714048785e-01
0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 9.993751952718162856e-01
5.000000000000000278e-02 5.000000000000000278e-02 0.000000000000000000e+00 9.987507809245809165e-01
1.000000000000000056e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.968798777302081415e-01
1.500000000000000222e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.937694906233947023e-01
2.000000000000000111e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.894312459319040132e-01
2.500000000000000000e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.838813189766874023e-01
3.000000000000000444e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.771403335973504189e-01
3.500000000000000333e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.692332344763441299e-01
4.000000000000000222e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.601891333679518636e-01
4.500000000000000111e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.500411305585277910e-01
5.000000000000000000e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.388261130901123241e-01
5.500000000000000444e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.265845314683354150e-01
6.000000000000000888e-01 5.000000000000000278e-02 0.000000000000000000e+00 9.133601567454361359e-01
6.500000000000000222e-01 5.000000000000000278e-02 0.000000000000000000e+00 8.991998200185832291e-01
7.000000000000000666e-01 5.000000000000000278e-02 0.000000000000000000e+00 8.841531365110227858e-01
7.500000000000000000e-01 5.000000000000000278e-02 0.000000000000000000e+00 8.682722165077729759e-01
8.000000000000000444e-01 5.000000000000000278e-02 0.000000000000000000e+00 8.516113654977728320e-01
8.500000000000000888e-01 5.000000000000000278e-02 0.000000000000000000e+00 8.342267759300476815e-01
9.000000000000000222e-01 5.000000000000000278e-02 0.000000000000000000e+00 8.161762130223397804e-01
9.500000000000000666e-01 5.000000000000000278e-02 0.000000000000000000e+00 7.975186970668712849e-01
1.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 7.783141846598287117e-01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 9.975031223974600847e-01
5.000000000000000278e-02 1.000000000000000056e-01 0.000000000000000000e+00 9.968798777302081415e-01
1.000000000000000056e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.950124791926823198e-01
1.500000000000000222e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.919079185976323876e-01
2.000000000000000111e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.875778004938814414e-01
2.500000000000000000e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.820382699020693273e-01
3.000000000000000444e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.753099120283326151e-01
3.500000000000000333e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.674176248276634693e-01
4.000000000000000222e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.583904655209468659e-01
4.500000000000000111e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.482614723896480857e-01
5.000000000000000000e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.370674633774034312e-01
5.500000000000000444e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.248488132162048236e-01
6.000000000000000888e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.116492109644617203e-01
6.500000000000000222e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.975153999933044302e-01
7.000000000000000666e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.824969025845953441e-01
7.500000000000000000e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.666457314081110752e-01
8.000000000000000444e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.500160902253981465e-01
8.500000000000000888e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.326640662233538714e-01
9.000000000000000222e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.146473164114145238e-01
9.500000000000000666e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.960247505224359310e-01
1.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 7.768562128393133870e-01
0.000000000000000000e+00 1.500000000000000222e-01 0.000000000000000000e+00 9.943907906910809391e-01
5.000000000000000278e-02 1.500000000000000222e-01 0.000000000000000000e+00 9.937694906233947023e-01
1.000000000000000056e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.919079185976323876e-01
1.500000000000000222e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.888130446112330940e-01
2.000000000000000111e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.844964370054084535e-01
2.500000000000000000e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.789741904263600247e-01
3.000000000000000444e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.722668258518643025e-01
3.500000000000000333e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.643991635522495276e-01
4.000000000000000222e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.554001700863188340e-01
4.500000000000000111e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.453027806520594156e-01
5.000000000000000000e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.341436983166222507e-01
5.500000000000000444e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.219631718378983321e-01
6.000000000000000888e-01 1.500000000000000222e-01 0.000000000000000000e+00 9.088047539590933255e-01
6.500000000000000222e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.947150422063041564e-01
7.000000000000000666e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.797434043458188802e-01
7.500000000000000000e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.639416907615246055e-01
8.000000000000000444e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.473639360926044084e-01
8.500000000000000888e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.300660525270749934e-01
9.000000000000000222e-01 1.500000000000000222e-01 0.000000000000000000e+00 8.121055171774531622e-01
9.500000000000000666e-01 1.500000000000000222e-01 0.000000000000000000e+00 7.935410559710253109e-01
1.000000000000000000e+00 1.500000000000000222e-01 0.000000000000000000e+00 7.744323264692072328e-01
